分类: 央视频道, 名称: CCTV-4欧洲, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-4美洲, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-兵器科技, 有效: 4, IPv4: 11, IPv6: 0, 最小延迟: 22 ms, 最高速率: 53.59 MiB/s, 平均速率: 35.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-第一剧场, 有效: 6, IPv4: 9, IPv6: 0, 最小延迟: 21 ms, 最高速率: 44.07 MiB/s, 平均速率: 21.54 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-风云足球, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 22 ms, 最高速率: 15.14 MiB/s, 平均速率: 15.14 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-世界地理, 有效: 2, IPv4: 4, IPv6: 0, 最小延迟: 23 ms, 最高速率: 1.66 MiB/s, 平均速率: 1.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-央视台球, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 22 ms, 最高速率: 12.05 MiB/s, 平均速率: 6.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-央视高网, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 23 ms, 最高速率: 0.62 MiB/s, 平均速率: 0.62 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-风云音乐, 有效: 5, IPv4: 15, IPv6: 0, 最小延迟: 14 ms, 最高速率: 55.97 MiB/s, 平均速率: 32.41 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 60.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-风云剧场, 有效: 4, IPv4: 13, IPv6: 0, 最小延迟: 14 ms, 最高速率: 53.39 MiB/s, 平均速率: 26.45 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CCTV-怀旧剧场, 有效: 4, IPv4: 13, IPv6: 0, 最小延迟: 14 ms, 最高速率: 48.11 MiB/s, 平均速率: 22.95 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-文化精品, 有效: 4, IPv4: 8, IPv6: 0, 最小延迟: 14 ms, 最高速率: 47.75 MiB/s, 平均速率: 13.02 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CGTN英语, 有效: 4, IPv4: 55, IPv6: 0, 最小延迟: 45 ms, 最高速率: 12.01 MiB/s, 平均速率: 6.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 30.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CGTN记录, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 24 ms, 最高速率: 12.88 MiB/s, 平均速率: 6.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CGTN俄语, 有效: 0, IPv4: 28, IPv6: 0, 最小延迟: — ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CGTN法语, 有效: 2, IPv4: 31, IPv6: 0, 最小延迟: 35 ms, 最高速率: 13.09 MiB/s, 平均速率: 7.24 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CGTN西语, 有效: 2, IPv4: 32, IPv6: 0, 最小延迟: 24 ms, 最高速率: 12.34 MiB/s, 平均速率: 11.50 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道, 名称: CGTN阿语, 有效: 2, IPv4: 23, IPv6: 0, 最小延迟: 29 ms, 最高速率: 12.83 MiB/s, 平均速率: 12.60 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 卫视频道, 名称: 北京卫视, 有效: 6, IPv4: 10, IPv6: 0, 最小延迟: 21 ms, 最高速率: 21.39 MiB/s, 平均速率: 10.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 50.0, 视频编解码器: h264, 音频编解码器: ac3
